Bundesland;Geschlecht;0 Stunden;1 bis 9 Stunden;10 bis 19 Stunden;20 bis 29 Stunden;30 bis 39 Stunden;40 bis 48 Stunden;49 und mehr Stunden
Baden-Württemberg;männlich;343;147;126;187;775;1433;206
Baden-Württemberg;weiblich;410;250;329;515;693;575;58
Baden-Württemberg;Insgesamt;753;398;455;702;1468;2008;264
Bayern;männlich;349;149;136;207;1041;1648;277
Bayern;weiblich;409;271;396;621;900;685;74
Bayern;Insgesamt;758;420;532;829;1941;2334;352
Berlin;männlich;89;39;58;86;230;428;55
Berlin;weiblich;102;50;67;122;268;259;22
Berlin;Insgesamt;191;89;125;208;499;686;77
Brandenburg;männlich;58;21;27;35;157;324;35
Brandenburg;weiblich;69;27;32;63;217;164;14
Brandenburg;Insgesamt;127;48;59;98;375;487;49
Bremen;männlich;20;8;9;12;52;70;8
Bremen;weiblich;24;12;15;28;46;27;/
Bremen;Insgesamt;44;20;25;40;98;97;11
Hamburg;männlich;43;19;22;36;131;229;32
Hamburg;weiblich;59;29;41;74;132;123;13
Hamburg;Insgesamt;102;48;63;110;262;351;46
Hessen;männlich;161;75;79;103;437;732;119
Hessen;weiblich;195;115;153;281;401;326;34
Hessen;Insgesamt;355;190;232;384;838;1058;154
Mecklenburg-Vorpommern;männlich;40;12;15;21;81;192;23
Mecklenburg-Vorpommern;weiblich;49;17;18;39;130;94;7
Mecklenburg-Vorpommern;Insgesamt;89;28;33;61;211;286;30
Niedersachsen;männlich;231;107;99;127;596;867;141
Niedersachsen;weiblich;267;169;212;370;525;335;37
Niedersachsen;Insgesamt;498;276;311;497;1121;1202;178
Nordrhein-Westfalen;männlich;401;220;217;288;1276;2056;321
Nordrhein-Westfalen;weiblich;470;379;473;785;1155;868;85
Nordrhein-Westfalen;Insgesamt;872;600;690;1073;2432;2924;406
Rheinland-Pfalz;männlich;122;50;48;60;283;497;68
Rheinland-Pfalz;weiblich;150;92;118;188;246;188;19
Rheinland-Pfalz;Insgesamt;272;142;166;248;529;685;87
Saarland;männlich;35;11;11;12;68;108;15
Saarland;weiblich;34;20;25;36;59;48;/
Saarland;Insgesamt;69;31;37;48;127;156;19
Sachsen;männlich;116;31;39;64;249;473;58
Sachsen;weiblich;130;37;56;127;334;222;18
Sachsen;Insgesamt;247;68;94;190;583;695;75
Sachsen-Anhalt;männlich;49;15;19;24;120;272;30
Sachsen-Anhalt;weiblich;47;18;25;53;188;131;8
Sachsen-Anhalt;Insgesamt;97;32;44;76;308;404;37
Schleswig-Holstein;männlich;84;41;38;48;221;300;57
Schleswig-Holstein;weiblich;98;57;70;132;206;125;14
Schleswig-Holstein;Insgesamt;182;98;108;180;426;424;71
Thüringen;männlich;64;20;18;28;121;258;30
Thüringen;weiblich;69;22;28;54;164;118;11
Thüringen;Insgesamt;133;42;47;82;285;376;40
