Bundesland;Geschlecht;Einkommensklasse;Bevölkerung in Hauptwohnsitzhaushalten;Erwerbstätige aus Hauptwohnsitzhaushalten;Nichterwerbspersonen aus Hauptwohnsitzhaushalten
Baden-Württemberg;männlich;Kein Einkommen;990;11;957
Baden-Württemberg;männlich;unter 500 EUR;215;61;142
Baden-Württemberg;männlich;500 bis unter 1000 EUR;382;170;186
Baden-Württemberg;männlich;1000 bis unter 1250 EUR;252;104;133
Baden-Württemberg;männlich;1250 bis unter 1500 EUR;229;96;125
Baden-Württemberg;männlich;1500 bis unter 1750 EUR;262;135;122
Baden-Württemberg;männlich;1750 bis unter 2000 EUR;355;225;126
Baden-Württemberg;männlich;2000 bis unter 2500 EUR;803;604;191
Baden-Württemberg;männlich;2500 bis unter 3000 EUR;611;509;100
Baden-Württemberg;männlich;3000 bis unter 3500 EUR;454;387;66
Baden-Württemberg;männlich;3500 EUR und mehr;1017;916;100
Baden-Württemberg;männlich;Ohne Angabe;0;0;0
Baden-Württemberg;männlich;Insgesamt;5571;3217;2247
Baden-Württemberg;weiblich;Kein Einkommen;1135;17;1097
Baden-Württemberg;weiblich;unter 500 EUR;423;152;261
Baden-Württemberg;weiblich;500 bis unter 1000 EUR;855;394;436
Baden-Württemberg;weiblich;1000 bis unter 1250 EUR;552;293;250
Baden-Württemberg;weiblich;1250 bis unter 1500 EUR;435;256;175
Baden-Württemberg;weiblich;1500 bis unter 1750 EUR;390;255;132
Baden-Württemberg;weiblich;1750 bis unter 2000 EUR;390;276;113
Baden-Württemberg;weiblich;2000 bis unter 2500 EUR;632;491;138
Baden-Württemberg;weiblich;2500 bis unter 3000 EUR;347;284;62
Baden-Württemberg;weiblich;3000 bis unter 3500 EUR;209;177;32
Baden-Württemberg;weiblich;3500 EUR und mehr;267;236;31
Baden-Württemberg;weiblich;Ohne Angabe;0;0;0
Baden-Württemberg;weiblich;Insgesamt;5636;2830;2725
Baden-Württemberg;Insgesamt;Kein Einkommen;2125;28;2054
Baden-Württemberg;Insgesamt;unter 500 EUR;637;212;403
Baden-Württemberg;Insgesamt;500 bis unter 1000 EUR;1237;565;622
Baden-Württemberg;Insgesamt;1000 bis unter 1250 EUR;804;397;382
Baden-Württemberg;Insgesamt;1250 bis unter 1500 EUR;664;352;300
Baden-Württemberg;Insgesamt;1500 bis unter 1750 EUR;652;389;254
Baden-Württemberg;Insgesamt;1750 bis unter 2000 EUR;745;501;239
Baden-Württemberg;Insgesamt;2000 bis unter 2500 EUR;1435;1095;330
Baden-Württemberg;Insgesamt;2500 bis unter 3000 EUR;959;794;161
Baden-Württemberg;Insgesamt;3000 bis unter 3500 EUR;664;564;98
Baden-Württemberg;Insgesamt;3500 EUR und mehr;1285;1151;130
Baden-Württemberg;Insgesamt;Ohne Angabe;0;0;0
Baden-Württemberg;Insgesamt;Insgesamt;11207;6047;4973
Bayern;männlich;Kein Einkommen;1151;18;1114
Bayern;männlich;unter 500 EUR;217;60;148
Bayern;männlich;500 bis unter 1000 EUR;418;192;199
Bayern;männlich;1000 bis unter 1250 EUR;290;115;159
Bayern;männlich;1250 bis unter 1500 EUR;249;96;146
Bayern;männlich;1500 bis unter 1750 EUR;366;183;176
Bayern;männlich;1750 bis unter 2000 EUR;392;257;131
Bayern;männlich;2000 bis unter 2500 EUR;991;768;215
Bayern;männlich;2500 bis unter 3000 EUR;711;585;121
Bayern;männlich;3000 bis unter 3500 EUR;548;455;91
